=== 1: Old Burmese <<->> ===
== Pattern 1: -:⁵⁵:-:- ==
| ID                                     | OBurm     | Acha-LC              | Maru                | Bola                |
|                                    | -       | -                 | ⁵⁵                 | -                    |
| 262 ("ancestors / forebears")      | Ø       | Ø                 | <phjik⁵⁵>tam³¹     | <phi³¹>tam³¹         |
| 1044 ("blow (one's nose)")         | Ø       | Ø                 | <khjuk⁵⁵>          | <khju³⁵>             |
| 2140 ("classifier for rope")       | Ø       | Ø                 | <khjɛʔ⁵⁵>          | <khjɛʔ⁵⁵>            |
| 2247 ("close (the mouth)")         | Ø       | Ø                 | <mji̱k⁵⁵>           | <mi̱³⁵>               |
| 3547 ("ear")                       | Ø       | Ø                 | nə̆³¹<khjɛʔ⁵⁵>      | nə̆³¹<khj⁵⁵>          |
| 4893 ("grandmother")               | Ø       | Ø                 | a³¹<phjik⁵⁵>       | a⁵⁵<phi³¹>           |
| 5585 ("how many (a small number)") | Ø       | Ø                 | khə̆³¹<mjɔ̱⁵⁵>       | khăk⁵⁵<mi⁵⁵>lam³¹    |
| 6156 ("lay (eggs)")                | Ø       | Ø                 | <khjɔ⁵⁵>           | <khja³⁵>             |
| 6501 ("locust")                    | Ø       | Ø                 | tʃiŋ³¹<khjak⁵⁵>    | tʃɔ̱n⁵⁵<khjak⁵⁵>      |
| 7052 ("mother-in-law")             | Ø       | Ø                 | jauk³¹<mji̱⁵⁵>      | jauʔ³¹<mi̱³⁵>         |
| 7382 ("offer / dedicate")          | Ø       | Ø                 | <pjik⁵⁵>           | <pi³¹>               |
| 9847 ("sheet (of paper)")          | Ø       | Ø                 | <khjɛʔ⁵⁵>          | <khjɛʔ⁵⁵>            |
| 10152 ("slough off (of a snake)")  | Ø       | Ø                 | <khjɛt⁵⁵>          | <khjɔt⁵⁵>            |
| 11079 ("take off (clothes)")       | Ø       | Ø                 | <khjɛt⁵⁵>          | <khjɔt⁵⁵>            |
| 2088 ("classifier for leaves")     | Ø       | <tʂap⁵⁵>          | <khjɛʔ⁵⁵>          | faʔ⁵⁵<khjɛʔ⁵⁵>       |
| 5475 ("hoof (note:+even_toed)")    | Ø       | <tɕhi⁵⁵>xo⁵⁵      | <khjuk⁵⁵>saŋ³⁵     | <khji⁵⁵>saŋ³⁵        |
| 6280 ("lid / cover")               | Ø       | a³¹<tshiʔ⁵⁵>      | a³¹<mji̱k⁵⁵>        | a³¹<mə̱i³⁵>           |
| 7719 ("page")                      | Ø       | <tʂap⁵⁵>          | <khjɛʔ⁵⁵>          | <khjɛʔ⁵⁵>            |
| 7969 ("asleep, fall")              | Ø       | e³¹<mui³⁵>        | <mji̱k⁵⁵>           | <mə̱i³⁵>              |
| 9707 ("several / few, a")          | Ø       | xoi³¹<ȵeʔ³¹>ʑuʔ⁵⁵ | khə̆³¹<mjɔ̱⁵⁵>jauk⁵⁵ | khə̆³¹<mɛ³¹>a³¹jauʔ³¹ |
| 420 ("ask / question")             | <miyḥ>  | <ȵi³¹>            | <mjik⁵⁵>           | <məi³¹>              |
| 4417 ("forget")                    | <miyʔ>  | <ȵi³⁵>            | tɔ⁵⁵<mji̱k⁵⁵>       | tɑ̱̆³¹<mə̱i³¹>          |
| 1511 ("burnt / scorched")          | Ø       | <tɕheʔ⁵⁵>         | <kja̱uk⁵⁵>          | Ø                    |
| 5510 ("horn (woodwind)")           | Ø       | <pe³¹>xe³¹        | <pjĭ⁵⁵>khjɛ³¹      | Ø                    |
| 8297 ("pluck (flowers)")           | <ko₂k>  | Ø                 | <khjuk⁵⁵>          | Ø                    |
| 10671 ("mother")                   | aʔ<miʔ> | Ø                 | a³¹<mji̱⁵⁵>         | Ø                    |
| 11915 ("give")                     | <piyḥ>  | Ø                 | <pjik⁵⁵>           | <pi³¹>               |

== Pattern 4: -:-:³⁵:- ==
| ID                                      | OBurm       | Acha-LC      | Maru                 | Bola            |
|-----------------------------------------|-------------|--------------|----------------------|-----------------|
|                                         | -           | -            | ³⁵                   | -               |
| 4747 ("girl")                           | Ø           | tsaŋ³¹<ʑi³¹> | tsɔ̆³⁵<mji³⁵>         | <mi³¹>ɣɛ³¹nɔ³⁵  |
| 4774 ("go (to market / a fair)")        | Ø           | sɔʔ³⁵<ɔŋ⁵⁵>  | kai³¹<jɛ³⁵>          | kai³¹<ai⁵⁵>     |
| 4957 ("grind (flour)")                  | Ø           | <lui³⁵>      | <lui³⁵>              | <lui³⁵>         |
| 5064 ("gunpowder")                      | Ø           | <mə³¹>       | <mji³⁵>tʃhik⁵⁵       | <mi³¹>tʃhɿ³⁵    |
| 6949 ("millstones")                     | Ø           | <lui³⁵>      | <lui³⁵>              | <lui³⁵>         |
| 8230 ("plant ash")                      | Ø           | <nă³¹>ʐap³⁵  | <njĭ³⁵>map⁵⁵         | <mi³¹>map³¹     |
| 9149 ("rinse (the mouth)")              | Ø           | <tʂui³¹>     | <tʃui³⁵>             | <tʃui³¹>        |
| 9471 ("whet (a knife)")                 | Ø           | <soi³¹>      | <sui³⁵>              | <sui³⁵>         |
| 12241 ("vat / jar")                     | Ø           | <əŋ³⁵>       | <jɛ̃³⁵>               | <vuŋ³⁵>         |
| 12758 ("wife")                          | Ø           | ȵi³¹<mɔʔ³¹>  | <mji³⁵>              | jõ³¹<mi³¹>      |
| 13059 ("horseshoe")                     | Ø           | <ma⁵⁵>tʂaŋ⁵¹ | <mjɔ̃³⁵>khjik⁵⁵tsəŋ⁵⁵ | <ma⁵⁵>tʃaŋ⁵¹    |
| 2095 ("classifier for knives")          | Ø           | Ø            | <khjɛ³⁵>             | <khjɛ̃³⁵>        |
| 2106 ("classifier for letters")         | Ø           | Ø            | <kja̱m³⁵>             | <khjɛʔ⁵⁵>       |
| 4143 ("fire (a shot)")                  | Ø           | Ø            | <mjĭ³⁵>a̱m³¹pak³¹     | <mi³¹>a̱m⁵⁵pak³¹ |
| 6360 ("charcoal")                       | Ø           | Ø            | <mjĭ³⁵>pja̱uŋ³⁵       | <mi³¹>pja̱uŋ³⁵   |
| 7539 ("onion / scallion")               | Ø           | Ø            | xau³⁵<khjauŋ³⁵>      | xə̆³¹<pauŋ³¹>    |
| 8060 ("pick up (food with chopsticks)") | Ø           | Ø            | <ŋjɛ̱³⁵>              | <ŋɛ̱³⁵>          |
| 8322 ("poison / toxin")                 | Ø           | Ø            | <mui³⁵>              | <mi³¹>naʔ⁵⁵     |
| 11638 ("time")                          | Ø           | Ø            | a³¹<khjiŋ³⁵>         | a³¹<khjiŋ³⁵>    |
| 1412 ("buckle up / fasten (a belt)")    | <tup>       | <tshe³¹>     | <tʃhui³⁵>            | <tʃhui³⁵>       |
| 9105 ("ride (a horse)")                 | <ciḥ>       | <tsi³¹>      | <tʃui³⁵>             | <tʃui³¹>        |
| 12873 ("woman")                         | <wam>puʔluy | <i³¹>ȵɔ³¹    | <mji³⁵>ɤɛ³⁵          | <mi³¹>ɣɛ³¹      |
| 1797 ("change")                         | Ø           | <pen³⁵>      | <pjɛn³⁵>             | Ø               |
| 5189 ("hard / laborious")               | Ø           | <muai³¹>     | <mjauŋ³⁵>            | Ø               |
| 5853 ("jar (earthen)")                  | Ø           | <ʑam³¹>      | <jɛ̃³⁵>               | Ø               |
| 2877 ("fire")                           | <miḥ>       | Ø            | <mji³⁵>ŋa⁵⁵          | <mi³¹>tɛ̱ʔ⁵⁵     |
| 12386 ("warm")                          | <nuyḥ>      | Ø            | <ŋjø³⁵>              | Ø               |

