# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	ALIGNMENT	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
6202	Maru	early	46	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	91	i r t	n ɔʔ ⁵⁵
#
10845	Achang_Longchuan	easy	47	ŋai⁵⁵	ŋ ai ⁵⁵	92	i r t	ŋ ai ⁵⁵
10848	Maru	easy	47	lɔi³¹	l ɔi ³¹	93	i r t	l ɔi ³¹
#
1150	Achang_Longchuan	eight	48	ɕet⁵⁵	ɕ e t ⁵⁵	94	i r t	ɕ et ⁵⁵
1157	Maru	eight	48	ʃɛʔ⁵⁵	ʃ ɛ ʔ ⁵⁵	94	i r t	ʃ ɛʔ ⁵⁵
#
11205	Achang_Longchuan	enter (a house) (v.)	49	ɔŋ⁵⁵	/ʔ ɔ ŋ ⁵⁵	95	i r t	ʔ ɔŋ ⁵⁵
11318	Maru	enter (a house) (v.)	49	vɔ̃³¹	v ɔ̃ ∼ ³¹	95	i r t	v ɔ̃∼ ³¹
#
11577	Maru	exchange (v.)	50	tha⁵⁵	th a ⁵⁵	96	i r t	th a ⁵⁵
#
11548	Achang_Longchuan	expand / swell (v.)	51	pə³¹	p ə - ³¹	97	i r t	p ə ³¹
11551	Maru	expand / swell (v.)	51	pauŋ³⁵	p au ŋ ³⁵	97	i r t	p auŋ ³⁵
#
11477	Achang_Longchuan	fall (rain) (v.)	52	ʐo⁵⁵	ʐ o ⁵⁵	98	i r t	ʐ o ⁵⁵
11480	Maru	fall (rain) (v.)	52	vu³¹	v u ³¹	99	i r t	v u ³¹
#
1241	Achang_Longchuan	far	53	ve³¹	v e ³¹	100	i r t	v e ³¹
1248	Maru	far	53	va³⁵	v a ³⁵	101	i r t	v a ³⁵
#
9549	Achang_Longchuan	fast	54	mʐap⁵⁵	m ʐ a p ⁵⁵	102	i m r t	mʐ ʐ ʐap ⁵⁵
9552	Maru	fast	54	xəŋ³¹	x ə ŋ ³¹	103	i r t	x əŋ ³¹
#
